name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,type,lat,lon
berlin,220749,230495,231244,228649,240179,248954,271126,263200,279936,277570,95452,96317,153776,167232,182138,large_airport,52.362247,13.500672
bremen,38893,38598,38295,37845,39344,35564,33563,30164,31085,29534,14662,12531,18659,20747,22682,large_airport,53.046786,8.78932
düsseldorf,209736,214266,210298,204881,205686,204883,211666,214714,211804,219112,73981,77796,135324,146626,150624,large_airport,51.289501,6.76678
frankfurt,458279,481065,475569,465851,462559,461160,456830,469289,505421,507520,207003,256240,374105,423764,434230,large_airport,50.030241,8.561096
hamburg,137979,141326,137201,129503,139325,143198,145266,146024,140989,140753,52075,53667,91737,103949,111000,large_airport,53.630402,9.98823
cologne,121011,117715,112699,107290,110333,115181,123965,128549,132017,130869,69081,79214,108194,107283,106503,large_airport,50.865898,7.14274
leipzig,57727,58982,58640,57588,58887,60153,59213,63596,71330,71927,57739,69101,74078,73706,68584,large_airport,51.420657,12.232705
munich,378919,399581,387983,372010,367599,370348,385081,395047,403691,407612,140480,146675,276821,294342,318948,large_airport,48.353802,11.7861
nuremberg,55980,53772,50434,48336,42851,41502,41907,45873,46402,42669,14670,14623,29453,33123,32705,large_airport,49.498699,11.078056
stuttgart,119752,121401,115354,109611,108531,113125,112558,111330,121281,127195,47009,47935,71408,78413,81562,large_airport,48.689899,9.22196